Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2022-09-26,50397.671875,53900.0,54200.0,53600.0,53700.0,15008449
2022-09-27,50678.171875,54200.0,54200.0,53500.0,53800.0,16631289
2022-09-28,49462.6484375,52900.0,54400.0,52500.0,53900.0,19991129
2022-09-29,49520.08203125,52600.0,53700.0,52600.0,53300.0,13882080
2022-09-30,49990.80078125,53100.0,53600.0,51800.0,52300.0,22503249
2022-10-04,51967.8359375,55200.0,55400.0,54500.0,55300.0,19148435
2022-10-05,52720.9921875,56000.0,57200.0,55400.0,56900.0,22458970
2022-10-06,53003.421875,56300.0,57300.0,56300.0,56700.0,14944446
2022-10-07,52909.28125,56200.0,56900.0,55200.0,55900.0,16886813
2022-10-11,52156.125,55400.0,55700.0,54000.0,54400.0,21437877
2022-10-12,52532.703125,55800.0,57000.0,55200.0,55700.0,18408910
2022-10-13,51967.8359375,55200.0,56100.0,55200.0,55400.0,13784602
2022-10-14,53003.421875,56300.0,56500.0,55800.0,56200.0,12924326
2022-10-17,53285.86328125,56600.0,57000.0,55700.0,55800.0,13641878
2022-10-18,53191.71484375,56500.0,57100.0,55800.0,56700.0,14820702
2022-10-19,52532.703125,55800.0,56900.0,55700.0,56700.0,12660652
2022-10-20,52250.26953125,55500.0,56000.0,55100.0,55200.0,17107653
2022-10-21,52626.84765625,55900.0,56300.0,55100.0,55100.0,11456060
2022-10-24,54133.16015625,57500.0,57500.0,56700.0,57000.0,16944503
2022-10-25,54321.453125,57700.0,58600.0,57000.0,57000.0,17405678
2022-10-26,55921.91015625,59400.0,59600.0,57700.0,58000.0,20824967
2022-10-27,56016.05078125,59500.0,60100.0,58900.0,59700.0,21756712
2022-10-28,53944.875,57300.0,59200.0,57200.0,58900.0,20924937
2022-10-31,55921.91015625,59400.0,59900.0,58000.0,58100.0,18999514
2022-11-01,56486.7734375,60000.0,60300.0,59500.0,59900.0,17201647
2022-11-02,56110.19921875,59600.0,60000.0,59300.0,59700.0,13202919
2022-11-03,55733.625,59200.0,59800.0,58100.0,58600.0,17492162
2022-11-04,55921.91015625,59400.0,59500.0,58400.0,59100.0,12445841
2022-11-07,56675.0625,60200.0,60300.0,59400.0,59700.0,12437246
